# 検索で拾った候補。ここは間違いが混ざっていてよい。
# x_posts.py verify が oEmbed で実在・投稿者・本文を確かめ、
# 通ったものだけ x_posts.tsv に、怪しいものは _review_x.tsv に振り分ける。
cid	vid	character	status_url	match	note
c26877	v15070	アメ	https://x.com/birth_song_info/status/870954477854924800	full	要確認 ｜ 【Happy Brithday!!】6月3日はリバソン組・アメの誕生日です！🎉誕生日記念Twitterアイコンを配布しま
c26877	v15070	アメ	https://x.com/birth_song_info/status/473780786882027520	full	要確認 ｜ 【お知らせ】本日６月３日は、リバソン攻略対象キャラクター・アメの誕生日です。さといさんから記念イラストをいただきました！
c24662	v15118	都竹 天	https://x.com/p_reve/status/672944180692258816	full	紹介らしい ｜ 【Goes!キャラクター紹介】都竹天（声優：三瓶由布子）元気で明るいトラブルメーカーの高校2年生。学校で噂されている七不
c24662	v15118	都竹 天	https://x.com/p_reve/status/678018191738580992	full	紹介らしい ｜ 【Goes!キャラクター紹介】都竹天（声優：三瓶由布子）元気で明るいトラブルメーカーの高校2年生。学校で噂されている七不
c24676	v15118	ヴィンス ヴィヴィアン ヴィッカーズ	https://x.com/p_reve/status/672974377982427136	full	紹介らしい ｜ 【Goes!キャラクター紹介】ヴィンス・ヴィヴィアン・ヴィッカーズ（声優：白石涼子）親切、丁寧で物腰が柔らかい高校1年生
c24676	v15118	ヴィンス ヴィヴィアン ヴィッカーズ	https://x.com/p_reve/status/678048009871994881	full	紹介らしい ｜ 【Goes!キャラクター紹介】ヴィンス・ヴィヴィアン・ヴィッカーズ（声優：白石涼子）親切、丁寧で物腰が柔らかい高校1年生
c24692	v15118	カイ ジョリス 佐倉	https://x.com/p_reve/status/673034722063179780	full	紹介らしい ｜ 【Goes!キャラクター紹介】カイ・ジョリス・佐倉（声優：斎賀みつき）年齢：16歳　身長：182cm　体重：70kg　血
c24692	v15118	カイ ジョリス 佐倉	https://x.com/p_reve/status/678108184049876992	full	紹介らしい ｜ 【Goes!キャラクター紹介】カイ・ジョリス・佐倉（声優：斎賀みつき）年齢：16歳　身長：182cm　体重：70kg　血
c24703	v15118	新山 正典	https://x.com/p_reve/status/673095143025590272	full	紹介らしい ｜ 【Goes!キャラクター紹介】新山正典（声優：國立幸）年齢：15歳　身長：175cm　体重：64kg　血液型：A型　誕生
c24703	v15118	新山 正典	https://x.com/p_reve/status/678168626524852224	full	紹介らしい ｜ 【Goes!キャラクター紹介】新山正典（声優：國立幸）年齢：15歳　身長：175cm　体重：64kg　血液型：A型　誕生
c24822	v15118	日向 エリ ファース	https://x.com/p_reve/status/675843293377204225	full	紹介らしい ｜ 【Goes!キャラクター紹介】日向・エリ・ファース（声優：皆川純子） 生徒会で書記を務める高校2年生であり、セイムの双子
c24822	v15118	日向 エリ ファース	https://x.com/p_reve/status/678379926970433536	full	紹介らしい ｜ 【Goes!キャラクター紹介】日向・エリ・ファース（声優：皆川純子） 生徒会で書記を務める高校2年生であり、セイムの双子
c24824	v15118	セイム エリ ファース	https://x.com/p_reve/status/675918714277986306	full	紹介らしい ｜ 【Goes!キャラクター紹介】セイム・エリ・ファース（声優：竹内順子）年齢：16歳　身長：165cm　体重：58kg　血
c24824	v15118	セイム エリ ファース	https://x.com/p_reve/status/678455443702747137	full	紹介らしい ｜ 【Goes!キャラクター紹介】セイム・エリ・ファース（声優：竹内順子）日向の双子の弟。気まぐれで、面白いことが大好きな高
c24826	v15118	黒音	https://x.com/p_reve/status/675964224531783681	full	紹介らしい ｜ 【Goes!キャラクター紹介】黒音（声優：甲斐田ゆき）高校3年生。だが、クラスは不明。無表情でミステリアス。常に淡々とし
c24826	v15118	黒音	https://x.com/p_reve/status/678500725442273280	full	紹介らしい ｜ 【Goes!キャラクター紹介】黒音（声優：甲斐田ゆき） 高校3年生。だが、クラスは不明。無表情でミステリアス。常に淡々と
c49852	v15231	高尾	https://x.com/OtokoYukaku/status/978205040753049600	full	要確認 ｜ 3月26日は高尾のお誕生日です。高尾、おめでとうございます！高尾の身長は「188cm」です。ファミマプリントでは、期間限
c49853	v15231	ときわ	https://x.com/OtokoYukaku/status/947120283747536896	full	要確認 ｜ 12月31日はときわのお誕生日です。ときわ、おめでとうございます！ときわの特技は「舞」です。今年も菊屋＆扇屋の傾城をご愛
c49854	v15231	神楽	https://x.com/OtokoYukaku/status/955693495179608064	full	要確認 ｜ 1月23日は神楽のお誕生日です。神楽、おめでとうございます！神楽の身長は「185cm」です。ファミマプリントでは、期間限
c49855	v15231	かげろう	https://x.com/OtokoYukaku/status/1020322581935808512	full	要確認 ｜ 7月21日はかげろうのお誕生日です。かげろう、おめでとうございます！かげろうの身長は「168cm」です。Nintendo
c49856	v15231	いろは	https://x.com/OtokoYukaku/status/1027082315611000833	full	要確認 ｜ 8月8日はいろはのお誕生日です。いろは、おめでとうございます！いろはの身長は「185cm」です。Nintendo Swi
c49857	v15231	伊東 慶次	https://x.com/OtokoYukaku/status/1228237460942905344	full	紹介らしい ｜ 新攻略キャラクター「伊東慶次（CV：柿原徹也）」と新シナリオ＆イベグラを追加したPS Vita『男遊郭』がバレンタインセ
c49860	v15231	隼	https://x.com/OtokoYukaku/status/1040978840582057984	full	要確認 ｜ 9月16日は隼のお誕生日です。隼、おめでとうございます！■Nintendo Switch版好評配信中☆隼ルートももちろん
c39722	v15771	緋影	https://x.com/psy_otomate/status/532353234552107008	手入力	紹介らしい ｜ 【緋影】「僕以外はあり得ないだろう」（CV：石川界人） 『黒蝶のサイケデリカ』公式サイト http://t.co/Z7a
c39724	v15771	山都	https://x.com/psy_otomate/status/532353311198822400	手入力	紹介らしい ｜ 【山都】「……俺を選ぶなんて、変わった奴だけだろ……」（CV：細谷佳正） 『黒蝶のサイケデリカ』公式サイト http:/
c39725	v15771	鴉翅	https://x.com/psy_otomate/status/532353372913803264	手入力	紹介らしい ｜ 【鴉翅】「もっちろん、オレを選んでくれるよね？」（CV：柿原徹也）『黒蝶のサイケデリカ』公式サイト http://t.c
c39726	v15771	鉤翅	https://x.com/psy_otomate/status/532353445009690624	手入力	紹介らしい ｜ 【鉤翅】「僕を選んでくれると嬉しいな」（CV：鳥海浩輔）『黒蝶のサイケデリカ』公式サイト http://t.co/Z7a
c39727	v15771	紋白	https://x.com/psy_otomate/status/532353542174932992	手入力	紹介らしい ｜ 【紋白】「……どうでもいい……」（CV：松岡禎丞）『黒蝶のサイケデリカ』公式サイト http://t.co/Z7aOmj
c28307	v16032	アリス	https://x.com/taishoalice/status/510412559749369856	手入力	紹介らしい ｜ “変化を嫌うもう一人のアリス”アリス（cv：松岡禎丞）「君の脳内はお花畑かお菓子で出来てるのか。まるで、煮詰めすぎたジャ
c28307	v16032	アリス	https://x.com/taishoalice/status/1297051806921396225	full	過去セッション収集ぶんを復元
c34862	v16049	音成 奏	https://x.com/pm_pwp/status/815212644525215744	full	紹介らしい ｜ 【POSSESSION MAGENTA】音成 奏 CV:前野智昭「はぁ～毎年思うけど、ハニーと一緒に新年を迎えられる俺っ
